L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
44.59,43.27,132.141,23.4958,109.4669
44.59,44.8,138.363,23.4958,116.986
44.59,46.33,144.8982,23.4958,124.7271
44.59,47.86,154.5561,23.4958,132.6873
44.59,49.39,164.4403,23.4958,140.864
44.59,50.92,171.3099,23.4958,149.2542
44.59,52.45,179.1273,23.4958,157.8553
44.59,53.98,187.6816,23.4958,166.6642
44.59,55.51,196.5315,23.4958,175.6784
44.59,57.04,204.4135,23.4958,184.8948
44.59,58.57,214.0421,23.4958,194.3107
44.59,60.1,227.2216,23.4958,203.9233
44.59,61.63,237.57,23.4958,213.7298
44.59,63.16,244.9941,23.4958,223.7272
44.59,64.69,258.1285,23.4958,233.9128
44.59,66.22,267.9404,23.4958,244.2838
44.59,67.76,276.4068,23.4958,254.8373
44.59,69.29,285.5689,23.4958,265.5705
44.59,70.82,295.653,23.4958,276.4807
44.59,72.35,306.4347,23.4958,287.5649
44.59,73.88,319.9098,23.4958,298.8203
44.59,75.41,328.816,23.4958,310.2443
44.59,76.94,338.5068,23.4958,321.8339
44.59,78.47,357.0467,23.4958,333.5863
44.59,80.0,362.9938,23.4958,345.4989
45.41,5.0,25.1121,24.1494,1.5272
45.41,6.53,26.2337,24.1494,2.6019
45.41,8.06,27.2919,24.1494,3.959
45.41,9.59,29.0233,24.1494,5.5974
45.41,11.12,31.5353,24.1494,7.5156
45.41,12.65,33.3342,24.1494,9.7124
45.41,14.18,35.3344,24.1494,12.1862
45.41,15.71,37.2012,24.1494,14.9358
45.41,17.24,40.3856,24.1494,17.9596
45.41,18.78,43.4549,24.1494,21.256
45.41,20.31,47.0129,24.1494,24.8237
45.41,21.84,50.7295,24.1494,28.6609
45.41,23.37,54.3407,24.1494,32.7661
45.41,24.9,59.7695,24.1494,37.1376
45.41,26.43,63.7408,24.1494,41.7737
45.41,27.96,67.9774,24.1494,46.6729
45.41,29.49,73.3888,24.1494,51.8332
45.41,31.02,80.3517,24.1494,57.2531
45.41,32.55,83.5758,24.1494,62.9307
45.41,34.08,90.6629,24.1494,68.8641
45.41,35.61,96.9548,24.1494,75.0517
45.41,37.14,103.8425,24.1494,81.4915
45.41,38.67,110.7465,24.1494,88.1817
45.41,40.2,117.9859,24.1494,95.1059
45.41,41.73,127.9079,24.1494,102.1726
45.41,43.27,133.8575,24.1494,109.4669
45.41,44.8,141.7025,24.1494,116.986
45.41,46.33,148.3129,24.1494,124.7271
45.41,47.86,155.9674,24.1494,132.6873
45.41,49.39,163.6377,24.1494,140.864
45.41,50.92,170.3326,24.1494,149.2542
45.41,52.45,182.5039,24.1494,157.8553
45.41,53.98,190.163,24.1494,166.6642
45.41,55.51,200.6691,24.1494,175.6784
45.41,57.04,205.8739,24.1494,184.8948
45.41,58.57,215.6764,24.1494,194.3107
45.41,60.1,225.1685,24.1494,203.9233
45.41,61.63,235.5807,24.1494,213.7298
45.41,63.16,247.9207,24.1494,223.7272
45.41,64.69,255.2349,24.1494,233.9128
45.41,66.22,267.5844,24.1494,244.2838
45.41,67.76,276.0,24.1494,254.8373
45.41,69.29,286.7075,24.1494,265.5705
45.41,70.82,302.2822,24.1494,276.4807
45.41,72.35,307.1754,24.1494,287.5649
45.41,73.88,317.5393,24.1494,298.8203
45.41,75.41,326.3566,24.1494,310.2443
45.41,76.94,332.6715,24.1494,321.8339
45.41,78.47,347.0605,24.1494,333.5863
45.41,80.0,357.9824,24.1494,345.4989
46.22,5.0,25.9669,24.808,1.5272
46.22,6.53,26.7634,24.808,2.6019
46.22,8.06,28.1584,24.808,3.959
46.22,9.59,29.6514,24.808,5.5974
46.22,11.12,31.563,24.808,7.5156
46.22,12.65,33.5586,24.808,9.7124
46.22,14.18,35.6183,24.808,12.1862
46.22,15.71,38.5801,24.808,14.9358
46.22,17.24,41.8384,24.808,17.9596
46.22,18.78,44.5793,24.808,21.256
46.22,20.31,47.0333,24.808,24.8237
46.22,21.84,51.7611,24.808,28.6609
46.22,23.37,55.763,24.808,32.7661
46.22,24.9,60.636,24.808,37.1376
46.22,26.43,64.6592,24.808,41.7737
46.22,27.96,70.4448,24.808,46.6729
46.22,29.49,76.349,24.808,51.8332
46.22,31.02,80.8787,24.808,57.2531
46.22,32.55,87.7298,24.808,62.9307
46.22,34.08,92.3215,24.808,68.8641
46.22,35.61,98.771,24.808,75.0517
46.22,37.14,106.3947,24.808,81.4915
46.22,38.67,112.9024,24.808,88.1817
46.22,40.2,120.2635,24.808,95.1059
46.22,41.73,126.2621,24.808,102.1726
46.22,43.27,134.8708,24.808,109.4669
46.22,44.8,140.2879,24.808,116.986
46.22,46.33,148.0992,24.808,124.7271
46.22,47.86,154.3051,24.808,132.6873
46.22,49.39,164.5858,24.808,140.864
46.22,50.92,170.755,24.808,149.2542
46.22,52.45,182.3142,24.808,157.8553
46.22,53.98,188.8532,24.808,166.6642
46.22,55.51,196.8903,24.808,175.6784
46.22,57.04,207.8018,24.808,184.8948
46.22,58.57,219.5431,24.808,194.3107
46.22,60.1,229.9959,24.808,203.9233
46.22,61.63,234.6713,24.808,213.7298
46.22,63.16,247.2045,24.808,223.7272
46.22,64.69,257.3648,24.808,233.9128
46.22,66.22,269.7703,24.808,244.2838
46.22,67.76,276.5156,24.808,254.8373
46.22,69.29,290.4251,24.808,265.5705
46.22,70.82,302.5812,24.808,276.4807
46.22,72.35,313.1757,24.808,287.5649
46.22,73.88,330.8249,24.808,298.8203
46.22,75.41,334.8057,24.808,310.2443
46.22,76.94,344.2509,24.808,321.8339
46.22,78.47,357.19,24.808,333.5863
46.22,80.0,367.2846,24.808,345.4989
47.04,5.0,26.9942,25.4714,1.5272
47.04,6.53,28.2026,25.4714,2.6019
47.04,8.06,29.7962,25.4714,3.959
47.04,9.59,30.82,25.4714,5.5974
47.04,11.12,32.7556,25.4714,7.5156
47.04,12.65,33.978,25.4714,9.7124
47.04,14.18,36.5853,25.4714,12.1862
47.04,15.71,39.1974,25.4714,14.9358
47.04,17.24,41.3445,25.4714,17.9596
47.04,18.78,44.6638,25.4714,21.256
47.04,20.31,47.3043,25.4714,24.8237
47.04,21.84,50.4953,25.4714,28.6609
47.04,23.37,54.9976,25.4714,32.7661
47.04,24.9,60.1888,25.4714,37.1376
47.04,26.43,65.4523,25.4714,41.7737
47.04,27.96,70.6722,25.4714,46.6729
47.04,29.49,75.6277,25.4714,51.8332
47.04,31.02,81.1836,25.4714,57.2531
47.04,32.55,88.3192,25.4714,62.9307
47.04,34.08,94.6047,25.4714,68.8641
47.04,35.61,99.6765,25.4714,75.0517
47.04,37.14,107.0877,25.4714,81.4915
47.04,38.67,113.5306,25.4714,88.1817
47.04,40.2,119.4346,25.4714,95.1059
47.04,41.73,127.6752,25.4714,102.1726
47.04,43.27,133.7886,25.4714,109.4669
47.04,44.8,139.49,25.4714,116.986
47.04,46.33,149.2199,25.4714,124.7271
47.04,47.86,159.235,25.4714,132.6873
47.04,49.39,167.4778,25.4714,140.864
47.04,50.92,172.8762,25.4714,149.2542
47.04,52.45,182.4983,25.4714,157.8553
47.04,53.98,189.3922,25.4714,166.6642
47.04,55.51,198.7845,25.4714,175.6784
47.04,57.04,208.4175,25.4714,184.8948
47.04,58.57,219.3621,25.4714,194.3107
47.04,60.1,230.4676,25.4714,203.9233
47.04,61.63,238.7178,25.4714,213.7298
47.04,63.16,247.1011,25.4714,223.7272
47.04,64.69,258.5394,25.4714,233.9128
47.04,66.22,272.1566,25.4714,244.2838
47.04,67.76,281.5412,25.4714,254.8373
47.04,69.29,290.2916,25.4714,265.5705
47.04,70.82,298.7713,25.4714,276.4807
47.04,72.35,313.7943,25.4714,287.5649
47.04,73.88,318.1234,25.4714,298.8203
47.04,75.41,331.2887,25.4714,310.2443
47.04,76.94,342.5999,25.4714,321.8339
47.04,78.47,355.9262,25.4714,333.5863
47.04,80.0,368.1104,25.4714,345.4989
47.86,5.0,27.1615,26.1397,1.5272
47.86,6.53,28.1477,26.1397,2.6019
47.86,8.06,29.8925,26.1397,3.959
47.86,9.59,31.3301,26.1397,5.5974
47.86,11.12,32.8831,26.1397,7.5156
47.86,12.65,34.5008,26.1397,9.7124
47.86,14.18,37.8176,26.1397,12.1862
47.86,15.71,40.3861,26.1397,14.9358
47.86,17.24,42.6687,26.1397,17.9596
47.86,18.78,45.5526,26.1397,21.256
47.86,20.31,49.0857,26.1397,24.8237
47.86,21.84,52.0546,26.1397,28.6609
47.86,23.37,56.2476,26.1397,32.7661
47.86,24.9,61.2361,26.1397,37.1376
47.86,26.43,65.7902,26.1397,41.7737
47.86,27.96,70.3174,26.1397,46.6729
47.86,29.49,75.6006,26.1397,51.8332
47.86,31.02,81.3741,26.1397,57.2531
47.86,32.55,86.296,26.1397,62.9307
47.86,34.08,92.5395,26.1397,68.8641
47.86,35.61,99.5455,26.1397,75.0517
47.86,37.14,106.5923,26.1397,81.4915
47.86,38.67,111.5394,26.1397,88.1817
47.86,40.2,120.1424,26.1397,95.1059
47.86,41.73,127.8777,26.1397,102.1726
47.86,43.27,134.7897,26.1397,109.4669
47.86,44.8,141.9936,26.1397,116.986
47.86,46.33,147.8501,26.1397,124.7271
47.86,47.86,153.7309,26.1397,132.6873
47.86,49.39,165.22,26.1397,140.864
47.86,50.92,172.2818,26.1397,149.2542
47.86,52.45,179.757,26.1397,157.8553
47.86,53.98,188.016,26.1397,166.6642
47.86,55.51,194.0623,26.1397,175.6784
47.86,57.04,204.2296,26.1397,184.8948
47.86,58.57,215.7997,26.1397,194.3107
47.86,60.1,225.8402,26.1397,203.9233
47.86,61.63,233.6615,26.1397,213.7298
47.86,63.16,245.2539,26.1397,223.7272
47.86,64.69,255.0224,26.1397,233.9128
47.86,66.22,266.6254,26.1397,244.2838
47.86,67.76,275.9303,26.1397,254.8373
47.86,69.29,288.647,26.1397,265.5705
47.86,70.82,304.072,26.1397,276.4807
47.86,72.35,313.4897,26.1397,287.5649
47.86,73.88,322.3652,26.1397,298.8203
47.86,75.41,335.1652,26.1397,310.2443
47.86,76.94,348.9659,26.1397,321.8339
47.86,78.47,358.0505,26.1397,333.5863
47.86,80.0,366.929,26.1397,345.4989
48.67,5.0,28.1815,26.8125,1.5272
48.67,6.53,29.2771,26.8125,2.6019
48.67,8.06,29.9492,26.8125,3.959
48.67,9.59,31.9366,26.8125,5.5974
48.67,11.12,33.8971,26.8125,7.5156
48.67,12.65,35.6536,26.8125,9.7124
48.67,14.18,38.1928,26.8125,12.1862
48.67,15.71,41.2061,26.8125,14.9358
48.67,17.24,43.7201,26.8125,17.9596
48.67,18.78,46.3546,26.8125,21.256
48.67,20.31,50.2221,26.8125,24.8237
48.67,21.84,53.7143,26.8125,28.6609
48.67,23.37,56.4557,26.8125,32.7661
48.67,24.9,60.6213,26.8125,37.1376
48.67,26.43,65.8559,26.8125,41.7737
48.67,27.96,70.9461,26.8125,46.6729
48.67,29.49,75.9569,26.8125,51.8332
48.67,31.02,80.7657,26.8125,57.2531
48.67,32.55,86.9094,26.8125,62.9307
48.67,34.08,93.1698,26.8125,68.8641
48.67,35.61,99.6601,26.8125,75.0517
48.67,37.14,106.2474,26.8125,81.4915
48.67,38.67,112.8728,26.8125,88.1817
48.67,40.2,119.6159,26.8125,95.1059
48.67,41.73,128.1974,26.8125,102.1726
48.67,43.27,135.0886,26.8125,109.4669
48.67,44.8,140.8577,26.8125,116.986
48.67,46.33,148.4699,26.8125,124.7271
48.67,47.86,154.0151,26.8125,132.6873
48.67,49.39,163.0008,26.8125,140.864
48.67,50.92,174.3357,26.8125,149.2542
48.67,52.45,184.7328,26.8125,157.8553
48.67,53.98,195.2834,26.8125,166.6642
48.67,55.51,205.126,26.8125,175.6784
48.67,57.04,212.3229,26.8125,184.8948
48.67,58.57,220.3584,26.8125,194.3107
48.67,60.1,232.7254,26.8125,203.9233
48.67,61.63,239.9426,26.8125,213.7298
48.67,63.16,249.2905,26.8125,223.7272
48.67,64.69,260.5511,26.8125,233.9128
48.67,66.22,267.8327,26.8125,244.2838
48.67,67.76,276.5256,26.8125,254.8373
48.67,69.29,287.2792,26.8125,265.5705
48.67,70.82,297.1619,26.8125,276.4807
48.67,72.35,305.5829,26.8125,287.5649
48.67,73.88,323.8817,26.8125,298.8203
48.67,75.41,334.435,26.8125,310.2443
48.67,76.94,349.6069,26.8125,321.8339
48.67,78.47,357.9699,26.8125,333.5863
48.67,80.0,374.6372,26.8125,345.4989
49.49,5.0,29.157,27.49,1.5272
49.49,6.53,30.0078,27.49,2.6019
49.49,8.06,31.2991,27.49,3.959
49.49,9.59,32.6703,27.49,5.5974
49.49,11.12,34.8324,27.49,7.5156
49.49,12.65,37.1478,27.49,9.7124
49.49,14.18,39.3447,27.49,12.1862
49.49,15.71,41.6554,27.49,14.9358
49.49,17.24,44.4819,27.49,17.9596
49.49,18.78,47.0462,27.49,21.256
49.49,20.31,50.1044,27.49,24.8237
49.49,21.84,53.9108,27.49,28.6609
49.49,23.37,57.438,27.49,32.7661
49.49,24.9,62.2531,27.49,37.1376
49.49,26.43,67.2468,27.49,41.7737
49.49,27.96,72.498,27.49,46.6729
49.49,29.49,77.7726,27.49,51.8332
49.49,31.02,83.2327,27.49,57.2531
49.49,32.55,87.4311,27.49,62.9307
49.49,34.08,94.4403,27.49,68.8641
49.49,35.61,102.0974,27.49,75.0517
49.49,37.14,107.2047,27.49,81.4915
49.49,38.67,112.9651,27.49,88.1817
49.49,40.2,120.9969,27.49,95.1059
49.49,41.73,127.6499,27.49,102.1726
49.49,43.27,132.9112,27.49,109.4669
49.49,44.8,142.0847,27.49,116.986
49.49,46.33,147.8537,27.49,124.7271
49.49,47.86,156.5346,27.49,132.6873
49.49,49.39,166.1121,27.49,140.864
49.49,50.92,174.0563,27.49,149.2542
49.49,52.45,184.9401,27.49,157.8553
49.49,53.98,189.6767,27.49,166.6642
49.49,55.51,199.7979,27.49,175.6784
49.49,57.04,209.5427,27.49,184.8948
49.49,58.57,215.5694,27.49,194.3107
49.49,60.1,224.0505,27.49,203.9233
49.49,61.63,235.866,27.49,213.7298
49.49,63.16,247.0234,27.49,223.7272
49.49,64.69,255.1198,27.49,233.9128
49.49,66.22,267.4422,27.49,244.2838
49.49,67.76,280.4625,27.49,254.8373
49.49,69.29,292.1865,27.49,265.5705
49.49,70.82,304.3232,27.49,276.4807
49.49,72.35,315.0248,27.49,287.5649
49.49,73.88,329.1313,27.49,298.8203
49.49,75.41,334.8812,27.49,310.2443
49.49,76.94,343.4948,27.49,321.8339
49.49,78.47,354.1616,27.49,333.5863
49.49,80.0,368.694,27.49,345.4989
50.31,5.0,29.7498,28.1719,1.5272
50.31,6.53,30.5066,28.1719,2.6019
50.31,8.06,32.0468,28.1719,3.959
50.31,9.59,33.7349,28.1719,5.5974
50.31,11.12,35.3699,28.1719,7.5156
50.31,12.65,37.2346,28.1719,9.7124
50.31,14.18,39.8257,28.1719,12.1862
50.31,15.71,42.6313,28.1719,14.9358
50.31,17.24,45.3403,28.1719,17.9596
50.31,18.78,47.7732,28.1719,21.256
50.31,20.31,51.4463,28.1719,24.8237
50.31,21.84,54.2656,28.1719,28.6609
50.31,23.37,58.5135,28.1719,32.7661
50.31,24.9,62.7707,28.1719,37.1376
50.31,26.43,68.2503,28.1719,41.7737
50.31,27.96,72.5395,28.1719,46.6729
50.31,29.49,79.5434,28.1719,51.8332
50.31,31.02,86.1998,28.1719,57.2531
50.31,32.55,91.2188,28.1719,62.9307
50.31,34.08,96.6841,28.1719,68.8641
50.31,35.61,104.2436,28.1719,75.0517
50.31,37.14,109.4731,28.1719,81.4915
50.31,38.67,115.1729,28.1719,88.1817
50.31,40.2,121.3223,28.1719,95.1059
50.31,41.73,129.3587,28.1719,102.1726
50.31,43.27,136.1344,28.1719,109.4669
50.31,44.8,144.7178,28.1719,116.986
50.31,46.33,150.9429,28.1719,124.7271
50.31,47.86,158.0321,28.1719,132.6873
50.31,49.39,163.5851,28.1719,140.864
50.31,50.92,172.7408,28.1719,149.2542
50.31,52.45,183.613,28.1719,157.8553
50.31,53.98,191.1123,28.1719,166.6642
50.31,55.51,202.7276,28.1719,175.6784
50.31,57.04,212.6573,28.1719,184.8948
50.31,58.57,219.4796,28.1719,194.3107
50.31,60.1,229.0903,28.1719,203.9233
50.31,61.63,241.4057,28.1719,213.7298
50.31,63.16,249.8056,28.1719,223.7272
50.31,64.69,260.5676,28.1719,233.9128
50.31,66.22,271.8998,28.1719,244.2838
50.31,67.76,283.1539,28.1719,254.8373
50.31,69.29,295.7469,28.1719,265.5705
50.31,70.82,306.0182,28.1719,276.4807
50.31,72.35,311.5734,28.1719,287.5649
50.31,73.88,325.951,28.1719,298.8203
50.31,75.41,335.5393,28.1719,310.2443
50.31,76.94,345.9582,28.1719,321.8339
50.31,78.47,362.914,28.1719,333.5863
50.31,80.0,373.2582,28.1719,345.4989
51.12,5.0,30.2441,28.8581,1.5272
51.12,6.53,31.3828,28.8581,2.6019
51.12,8.06,32.3967,28.8581,3.959
51.12,9.59,34.184,28.8581,5.5974
51.12,11.12,35.7687,28.8581,7.5156
51.12,12.65,37.7496,28.8581,9.7124
51.12,14.18,40.451,28.8581,12.1862
51.12,15.71,43.1012,28.8581,14.9358
51.12,17.24,45.533,28.8581,17.9596
51.12,18.78,48.5861,28.8581,21.256
51.12,20.31,51.2794,28.8581,24.8237
51.12,21.84,54.8036,28.8581,28.6609
51.12,23.37,59.573,28.8581,32.7661
51.12,24.9,64.6734,28.8581,37.1376
51.12,26.43,69.3542,28.8581,41.7737
51.12,27.96,74.5855,28.8581,46.6729
51.12,29.49,79.682,28.8581,51.8332
51.12,31.02,85.0378,28.8581,57.2531
51.12,32.55,90.2361,28.8581,62.9307
51.12,34.08,96.2178,28.8581,68.8641
51.12,35.61,101.3586,28.8581,75.0517
51.12,37.14,109.4947,28.8581,81.4915
51.12,38.67,116.6795,28.8581,88.1817
51.12,40.2,124.4419,28.8581,95.1059
51.12,41.73,131.2919,28.8581,102.1726
51.12,43.27,135.9743,28.8581,109.4669
51.12,44.8,144.1519,28.8581,116.986
51.12,46.33,152.9757,28.8581,124.7271
51.12,47.86,160.2562,28.8581,132.6873
51.12,49.39,168.941,28.8581,140.864
51.12,50.92,175.6172,28.8581,149.2542
51.12,52.45,184.7007,28.8581,157.8553
51.12,53.98,189.9757,28.8581,166.6642
51.12,55.51,203.1007,28.8581,175.6784
51.12,57.04,213.7784,28.8581,184.8948
51.12,58.57,223.4474,28.8581,194.3107
51.12,60.1,233.2651,28.8581,203.9233
51.12,61.63,243.5844,28.8581,213.7298
51.12,63.16,255.3304,28.8581,223.7272
51.12,64.69,263.7331,28.8581,233.9128
51.12,66.22,271.9877,28.8581,244.2838
51.12,67.76,287.5981,28.8581,254.8373
51.12,69.29,299.466,28.8581,265.5705
51.12,70.82,308.744,28.8581,276.4807
51.12,72.35,318.9011,28.8581,287.5649
51.12,73.88,325.7233,28.8581,298.8203
51.12,75.41,344.6339,28.8581,310.2443
51.12,76.94,353.0106,28.8581,321.8339
51.12,78.47,363.4986,28.8581,333.5863
51.12,80.0,373.8981,28.8581,345.4989
51.94,5.0,30.9688,29.5486,1.5272
51.94,6.53,31.8781,29.5486,2.6019
51.94,8.06,33.1737,29.5486,3.959
51.94,9.59,34.3613,29.5486,5.5974
51.94,11.12,36.7194,29.5486,7.5156
51.94,12.65,39.1347,29.5486,9.7124
51.94,14.18,41.3113,29.5486,12.1862
51.94,15.71,43.8001,29.5486,14.9358
51.94,17.24,46.3363,29.5486,17.9596
51.94,18.78,49.4966,29.5486,21.256
51.94,20.31,52.386,29.5486,24.8237
51.94,21.84,56.2829,29.5486,28.6609
51.94,23.37,59.701,29.5486,32.7661
51.94,24.9,64.911,29.5486,37.1376
51.94,26.43,68.4038,29.5486,41.7737
51.94,27.96,75.4927,29.5486,46.6729
51.94,29.49,80.3148,29.5486,51.8332
51.94,31.02,85.422,29.5486,57.2531
51.94,32.55,90.1106,29.5486,62.9307
51.94,34.08,97.2699,29.5486,68.8641
51.94,35.61,102.9276,29.5486,75.0517
51.94,37.14,107.9828,29.5486,81.4915
51.94,38.67,115.4488,29.5486,88.1817
51.94,40.2,121.0969,29.5486,95.1059
51.94,41.73,127.8444,29.5486,102.1726
51.94,43.27,136.4194,29.5486,109.4669
51.94,44.8,144.2457,29.5486,116.986
51.94,46.33,152.0323,29.5486,124.7271
51.94,47.86,158.9462,29.5486,132.6873
51.94,49.39,167.9619,29.5486,140.864
51.94,50.92,176.5883,29.5486,149.2542
51.94,52.45,185.6886,29.5486,157.8553
51.94,53.98,192.4532,29.5486,166.6642
51.94,55.51,202.9921,29.5486,175.6784
51.94,57.04,211.8135,29.5486,184.8948
51.94,58.57,217.7045,29.5486,194.3107
51.94,60.1,230.06,29.5486,203.9233
51.94,61.63,240.5506,29.5486,213.7298
51.94,63.16,250.5565,29.5486,223.7272
51.94,64.69,262.4259,29.5486,233.9128
51.94,66.22,272.1904,29.5486,244.2838
51.94,67.76,282.0135,29.5486,254.8373
51.94,69.29,295.4864,29.5486,265.5705
51.94,70.82,305.722,29.5486,276.4807
51.94,72.35,318.5711,29.5486,287.5649
51.94,73.88,329.7427,29.5486,298.8203
51.94,75.41,344.1268,29.5486,310.2443
51.94,76.94,359.5097,29.5486,321.8339
51.94,78.47,364.1981,29.5486,333.5863
51.94,80.0,378.8712,29.5486,345.4989
52.76,5.0,31.9365,30.2431,1.5272
52.76,6.53,32.6357,30.2431,2.6019
52.76,8.06,34.2227,30.2431,3.959
52.76,9.59,36.0421,30.2431,5.5974
52.76,11.12,37.1547,30.2431,7.5156
52.76,12.65,38.8603,30.2431,9.7124
52.76,14.18,40.9316,30.2431,12.1862
52.76,15.71,43.6016,30.2431,14.9358
52.76,17.24,46.5594,30.2431,17.9596
52.76,18.78,49.5371,30.2431,21.256
52.76,20.31,53.2739,30.2431,24.8237
52.76,21.84,56.4076,30.2431,28.6609
52.76,23.37,59.9602,30.2431,32.7661
52.76,24.9,64.1856,30.2431,37.1376
52.76,26.43,69.7655,30.2431,41.7737
52.76,27.96,74.0042,30.2431,46.6729
52.76,29.49,79.6739,30.2431,51.8332
52.76,31.02,85.6221,30.2431,57.2531
52.76,32.55,90.9262,30.2431,62.9307
52.76,34.08,95.8982,30.2431,68.8641
52.76,35.61,101.8837,30.2431,75.0517
52.76,37.14,108.156,30.2431,81.4915
52.76,38.67,116.1518,30.2431,88.1817
52.76,40.2,123.8565,30.2431,95.1059
52.76,41.73,132.3134,30.2431,102.1726
52.76,43.27,139.6594,30.2431,109.4669
52.76,44.8,145.0908,30.2431,116.986
52.76,46.33,153.5562,30.2431,124.7271
52.76,47.86,162.461,30.2431,132.6873
52.76,49.39,169.3223,30.2431,140.864
52.76,50.92,176.1072,30.2431,149.2542
52.76,52.45,186.4181,30.2431,157.8553
52.76,53.98,196.7025,30.2431,166.6642
52.76,55.51,203.9206,30.2431,175.6784
52.76,57.04,211.859,30.2431,184.8948
52.76,58.57,219.3245,30.2431,194.3107
52.76,60.1,233.626,30.2431,203.9233
52.76,61.63,240.9567,30.2431,213.7298
52.76,63.16,248.1312,30.2431,223.7272
52.76,64.69,261.219,30.2431,233.9128
52.76,66.22,266.5759,30.2431,244.2838
52.76,67.76,276.4738,30.2431,254.8373
52.76,69.29,284.4625,30.2431,265.5705
52.76,70.82,304.9664,30.2431,276.4807
52.76,72.35,313.0385,30.2431,287.5649
52.76,73.88,323.6495,30.2431,298.8203
52.76,75.41,337.2917,30.2431,310.2443
52.76,76.94,350.5323,30.2431,321.8339
52.76,78.47,359.6632,30.2431,333.5863
52.76,80.0,369.7113,30.2431,345.4989
53.57,5.0,31.917,30.9417,1.5272
53.57,6.53,33.2919,30.9417,2.6019
53.57,8.06,34.6776,30.9417,3.959
53.57,9.59,35.8681,30.9417,5.5974
53.57,11.12,37.9263,30.9417,7.5156
53.57,12.65,40.5502,30.9417,9.7124
53.57,14.18,42.3211,30.9417,12.1862
53.57,15.71,45.066,30.9417,14.9358
53.57,17.24,48.3658,30.9417,17.9596
53.57,18.78,51.5436,30.9417,21.256
53.57,20.31,55.3222,30.9417,24.8237
53.57,21.84,58.3616,30.9417,28.6609
53.57,23.37,62.0171,30.9417,32.7661
53.57,24.9,66.7186,30.9417,37.1376
53.57,26.43,70.9955,30.9417,41.7737
53.57,27.96,76.2645,30.9417,46.6729
53.57,29.49,81.6424,30.9417,51.8332
53.57,31.02,86.9838,30.9417,57.2531
53.57,32.55,91.6601,30.9417,62.9307
53.57,34.08,96.209,30.9417,68.8641
53.57,35.61,102.6104,30.9417,75.0517
53.57,37.14,109.6567,30.9417,81.4915
53.57,38.67,115.9496,30.9417,88.1817
53.57,40.2,123.3987,30.9417,95.1059
53.57,41.73,132.2089,30.9417,102.1726
53.57,43.27,138.6848,30.9417,109.4669
53.57,44.8,146.4333,30.9417,116.986
53.57,46.33,151.9817,30.9417,124.7271
53.57,47.86,162.6904,30.9417,132.6873
53.57,49.39,169.5523,30.9417,140.864
53.57,50.92,176.9933,30.9417,149.2542
53.57,52.45,186.3143,30.9417,157.8553
53.57,53.98,196.248,30.9417,166.6642
53.57,55.51,206.5702,30.9417,175.6784
53.57,57.04,220.1583,30.9417,184.8948
53.57,58.57,228.2118,30.9417,194.3107
53.57,60.1,237.509,30.9417,203.9233
53.57,61.63,244.7184,30.9417,213.7298
53.57,63.16,261.603,30.9417,223.7272
53.57,64.69,269.0971,30.9417,233.9128
53.57,66.22,280.0639,30.9417,244.2838
53.57,67.76,288.1453,30.9417,254.8373
53.57,69.29,293.804,30.9417,265.5705
53.57,70.82,302.515,30.9417,276.4807
53.57,72.35,315.5061,30.9417,287.5649
53.57,73.88,325.0833,30.9417,298.8203
53.57,75.41,341.9479,30.9417,310.2443
53.57,76.94,354.3151,30.9417,321.8339
53.57,78.47,369.8311,30.9417,333.5863
53.57,80.0,381.5453,30.9417,345.4989
54.39,5.0,34.1742,31.6443,1.5272
54.39,6.53,34.9666,31.6443,2.6019
54.39,8.06,35.5541,31.6443,3.959
54.39,9.59,36.7415,31.6443,5.5974
54.39,11.12,38.8743,31.6443,7.5156
54.39,12.65,40.2605,31.6443,9.7124
54.39,14.18,42.7532,31.6443,12.1862
54.39,15.71,45.5932,31.6443,14.9358
54.39,17.24,47.9924,31.6443,17.9596
54.39,18.78,52.0751,31.6443,21.256
54.39,20.31,54.4199,31.6443,24.8237
54.39,21.84,58.6291,31.6443,28.6609
54.39,23.37,61.6018,31.6443,32.7661
54.39,24.9,67.033,31.6443,37.1376
54.39,26.43,71.209,31.6443,41.7737
54.39,27.96,77.374,31.6443,46.6729
54.39,29.49,80.6881,31.6443,51.8332
54.39,31.02,86.4571,31.6443,57.2531
54.39,32.55,91.7353,31.6443,62.9307
54.39,34.08,96.4261,31.6443,68.8641
54.39,35.61,104.9529,31.6443,75.0517
54.39,37.14,110.4387,31.6443,81.4915
54.39,38.67,116.3645,31.6443,88.1817
54.39,40.2,123.2735,31.6443,95.1059
54.39,41.73,130.1669,31.6443,102.1726
54.39,43.27,138.9643,31.6443,109.4669
54.39,44.8,146.13,31.6443,116.986
54.39,46.33,151.7406,31.6443,124.7271
54.39,47.86,160.5772,31.6443,132.6873
54.39,49.39,170.6877,31.6443,140.864
54.39,50.92,180.4733,31.6443,149.2542
54.39,52.45,185.1741,31.6443,157.8553
54.39,53.98,195.6033,31.6443,166.6642
54.39,55.51,202.5711,31.6443,175.6784
54.39,57.04,212.1444,31.6443,184.8948
54.39,58.57,220.2393,31.6443,194.3107
54.39,60.1,233.4272,31.6443,203.9233
54.39,61.63,244.459,31.6443,213.7298
54.39,63.16,257.4793,31.6443,223.7272
54.39,64.69,267.6443,31.6443,233.9128
54.39,66.22,273.1617,31.6443,244.2838
